metric,value
fii_net_flow,0.1010872723439853
dii_net_flow,0.041788983578876504
fii_flow_trend,Inflow
dii_flow_trend,Inflow
institutional_sentiment,Bullish
analyst_rating_change,No Change
analyst_consensus,No Consensus
institutional_confidence,65.0
last_updated,2025-08-29 03:05:41
