metric,value
fii_net_flow,0.128261267414118
dii_net_flow,0.09143101853282012
fii_flow_trend,Inflow
dii_flow_trend,Inflow
institutional_sentiment,Bullish
analyst_rating_change,No Change
analyst_consensus,No Consensus
institutional_confidence,65.0
last_updated,2025-08-29 02:03:00
