metric,value
fii_net_flow,0.19424857500628434
dii_net_flow,0.042575910008190984
fii_flow_trend,Inflow
dii_flow_trend,Inflow
institutional_sentiment,Bullish
analyst_rating_change,No Change
analyst_consensus,No Consensus
institutional_confidence,65.0
last_updated,2025-08-29 02:52:13
