metric,value
fii_net_flow,0.08817267200645929
dii_net_flow,-0.06178744791850562
fii_flow_trend,Inflow
dii_flow_trend,Outflow
institutional_sentiment,Neutral
analyst_rating_change,No Change
analyst_consensus,No Consensus
institutional_confidence,40.0
last_updated,2025-08-29 14:44:33
