iter	RMSE
0	648.4431897
1	561.1264077
2	486.2909709
3	423.880912
4	366.1367332
5	317.6893357
6	275.3697811
7	239.381155
8	211.544013
9	184.0769983
10	161.5812274
11	141.892337
12	124.6689827
13	110.3330333
14	98.25302068
15	88.26893566
16	79.27587159
17	71.4971264
18	65.09419977
19	59.50638606
20	55.16122087
21	51.62566763
22	48.5877369
23	46.16121573
24	44.06656308
25	42.48623563
26	41.18841046
27	40.06110379
28	39.37495538
29	38.44241889
30	37.72572741
31	36.67281729
32	36.10336745
33	35.37120952
34	34.72399424
35	34.40195081
36	34.03589098
37	33.782864
38	33.54011237
39	33.22621945
40	33.01094311
41	32.81857113
42	32.64739646
43	32.34351941
44	32.08978989
45	31.90824539
46	31.71336893
47	31.53714858
48	31.43669311
49	31.33046494
50	30.90368694
51	30.53790943
52	30.35847802
53	30.20472739
54	30.06663711
55	29.81216852
56	29.6469073
57	29.53448532
58	29.47270116
59	29.33397504
60	29.15752646
61	28.75061238
62	28.68885754
63	28.55803428
64	28.18736996
65	28.05886571
66	27.92002778
67	27.75531096
68	27.51714554
69	27.38618084
70	27.26735774
71	26.95332442
72	26.82083502
73	26.66952676
74	26.54249918
75	26.26837195
76	26.06197312
77	25.92433433
78	25.86543362
79	25.78827672
80	25.76229363
81	25.65878833
82	25.56052989
83	25.52075948
84	25.25142712
85	25.06228678
86	24.9596541
87	24.91282169
88	24.82965872
89	24.59876354
90	24.44955716
91	24.34635702
92	24.22638886
93	24.0634479
94	23.97320343
95	23.93294925
96	23.81091483
97	23.6458561
98	23.52184575
99	23.49021244
100	23.30298229
101	23.24989381
102	23.1734141
103	23.10463328
104	23.0004928
105	22.98818754
106	22.93839526
107	22.85021913
108	22.77699028
109	22.63830931
110	22.60316369
111	22.49603643
112	22.4225891
113	22.37036155
114	22.21114238
115	22.05457534
116	21.98470542
117	21.91765945
118	21.84843777
119	21.8313634
120	21.71793061
121	21.59945808
122	21.51896949
123	21.3532276
124	21.21310844
125	21.1877634
126	21.04773677
127	21.00839523
128	20.94943881
129	20.93182012
130	20.84202493
131	20.78868594
132	20.76573848
133	20.75042835
134	20.63844522
135	20.4940018
136	20.43590712
137	20.37937024
138	20.32750924
139	20.27777596
140	20.1887402
141	20.15892874
142	20.08751431
143	19.9557129
144	19.92007983
145	19.86278059
146	19.81042644
147	19.66376873
148	19.6262288
149	19.5852208
150	19.45804537
151	19.36672924
152	19.33432364
153	19.30384441
154	19.22219078
155	19.19952516
156	19.15038628
157	19.13313658
158	19.07295635
159	18.95694265
160	18.87600572
161	18.84733062
162	18.82950453
163	18.72557036
164	18.67512559
165	18.60391507
166	18.53708878
167	18.49840669
168	18.40477941
169	18.35971789
170	18.28745969
171	18.25462641
172	18.24200731
173	18.17338851
174	18.15886046
175	18.13806765
176	18.10229235
177	18.03878794
178	18.00514505
179	17.98192035
180	17.89466225
181	17.79346113
182	17.71404983
183	17.63957049
184	17.6262051
185	17.58961591
186	17.50213302
187	17.43327569
188	17.35704945
189	17.29294711
190	17.22938823
191	17.19071823
192	17.08811186
193	17.07182906
194	16.98906307
195	16.98387977
196	16.96433466
197	16.9310702
198	16.9010326
199	16.85412979
