Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Return,MA_10,MA_50,ATR_14
2023-08-22 00:00:00+05:30,1258.449951171875,1268.9749755859375,1249.5,1259.699951171875,1250.44482421875,7713044,0.0,0.0,,,,
2023-08-23 00:00:00+05:30,1262.0999755859375,1271.425048828125,1258.4749755859375,1261.0999755859375,1251.8345947265625,9517952,0.0,0.0,0.0011113951483130435,,,
2023-08-24 00:00:00+05:30,1269.949951171875,1269.949951171875,1235.5,1239.9000244140625,1230.7904052734375,14140020,0.0,0.0,-0.016810682406067756,,,
2023-08-25 00:00:00+05:30,1228.0,1252.5,1221.300048828125,1234.175048828125,1225.1075439453125,22222400,0.0,0.0,-0.004617288066143033,,,
2023-08-28 00:00:00+05:30,1236.0,1242.0,1215.550048828125,1221.875,1212.897705078125,12580826,0.0,0.0,-0.0099662109032298,,,
2023-08-29 00:00:00+05:30,1226.0250244140625,1226.7249755859375,1204.074951171875,1210.175048828125,1201.2838134765625,16876644,0.0,0.0,-0.009575407608695685,,,
2023-08-30 00:00:00+05:30,1216.0,1221.5,1207.5,1209.0250244140625,1200.142333984375,12168946,0.0,0.0,-0.0009502959222107421,,,
2023-08-31 00:00:00+05:30,1211.5,1212.5,1199.949951171875,1203.5,1194.6578369140625,21638600,0.0,0.0,-0.004569818078612675,,,
2023-09-01 00:00:00+05:30,1203.2750244140625,1212.824951171875,1200.824951171875,1206.324951171875,1197.4619140625,18112842,0.0,0.0,0.002347279743975861,,,
2023-09-04 00:00:00+05:30,1206.324951171875,1211.824951171875,1202.6500244140625,1205.3499755859375,1196.494140625,9347626,0.0,0.0,-0.0008082196965174537,1225.1125,,
2023-09-05 00:00:00+05:30,1210.0,1216.9749755859375,1206.2249755859375,1211.800048828125,1202.89697265625,8675876,0.0,0.0,0.005351203694223372,1220.322509765625,,
2023-09-06 00:00:00+05:30,1210.550048828125,1218.074951171875,1208.625,1214.3499755859375,1205.4281005859375,8200370,0.0,0.0,0.00210424711591517,1215.647509765625,,
