metric,value
eps,72.409999999282
eps_growth,14.594911628837176
net_profit_margin,24.824565214250352
revenue_growth,27.510105514716233
dividend_yield,78.0
dividend_announcement,Recent: 11.00
debt_to_equity,2188834400000.0
current_ratio,0.0
roe,51029200000000.0
roa,1.931284545267951
pe_ratio,19.030197
pb_ratio,3.0292335
financial_health_score,70.0
last_updated,2025-08-29 02:28:28
