metric,value
eps,13.699986546481904
eps_growth,15.508532298841596
net_profit_margin,36.146015248967075
revenue_growth,14.93215623240672
dividend_yield,65.0
dividend_announcement,Recent: 0.83
debt_to_equity,60588000000.0
current_ratio,0.0
roe,10183200000000.0
roa,16.450970350709124
pe_ratio,37.23609
pb_ratio,11.008679
financial_health_score,70.0
last_updated,2025-08-29 23:58:48
